,Score: Max Loss,Zero Line,Random,HMM(2),HMM(3),HMM(4),HMM(5),HMM(6),Max Gain
282,0.0,0.5253431429930585,0.5223050209750382,0.5253431429930585,0.5715418583394138,0.5715418583394138,0.5715418583394138,0.5715418583394138,1.0
283,0.0,0.5345378712436296,0.523285103391717,0.5345378712436296,0.5345378712436296,0.5788328744654682,0.5788328744654682,0.5788328744654682,1.0
284,0.0,0.512444516220069,0.5145778260892115,0.512444516220069,0.512444516220069,0.512444516220069,0.512444516220069,0.512444516220069,1.0
285,0.0,0.49401744268433556,0.4890204127787058,0.5034262722381344,0.5368400486093532,0.5368400486093532,0.5368400486093532,0.5368400486093532,1.0
286,0.0,0.5103786162929242,0.5075623169463811,0.5103786162929242,0.5538494067425882,0.5538494067425882,0.5538494067425882,0.5538494067425882,1.0
287,0.0,0.4982264907966365,0.4990569478390236,0.5072537803528426,0.5192602973867778,0.5192602973867778,0.5192602973867778,0.5192602973867778,1.0
288,0.0,0.5312167108648244,0.5342887415498012,0.5312167108648244,0.5312167108648244,0.5312167108648244,0.5312167108648244,0.5312167108648244,1.0
289,0.0,0.5093308470574716,0.5123946771410613,0.5093308470574716,0.5375281403596738,0.5375281403596738,0.5375281403596738,0.5375281403596738,1.0
290,0.0,0.5223715329746638,0.5240739452287527,0.5223715329746638,0.5223715329746638,0.5223715329746638,0.5223715329746638,0.5223715329746638,1.0
291,0.0,0.5307808786155644,0.5283131207360926,0.5307808786155644,0.5307808786155644,0.5307808786155644,0.5307808786155644,0.5307808786155644,1.0
292,0.0,0.5003274855647069,0.5017580695223859,0.5005924050404594,0.5234938482315773,0.5234938482315773,0.5234938482315773,0.5234938482315773,1.0
293,0.0,0.5029821825701969,0.5057422303337384,0.5029821825701969,0.5310158382724899,0.5310158382724899,0.5310158382724899,0.5310158382724899,1.0
294,0.0,0.5179915097151379,0.5167599440425249,0.5179915097151379,0.5541611435660072,0.5541611435660072,0.5541611435660072,0.5541611435660072,1.0
295,0.0,0.48668940038774067,0.48456248248917044,0.520285758964508,0.546053110900636,0.546053110900636,0.546053110900636,0.546053110900636,1.0
296,0.0,0.47794491061047256,0.4791659059792099,0.5321925624423429,0.5321925624423429,0.5321925624423429,0.5321925624423429,0.5321925624423429,1.0
297,0.0,0.513159281546679,0.5170445400755944,0.513159281546679,0.5234599031933447,0.5234599031933447,0.5234599031933447,0.5234599031933447,1.0
298,0.0,0.4913665203581873,0.491139224179154,0.5090267256262994,0.5179700831038874,0.5179700831038874,0.5179700831038874,0.5179700831038874,1.0
299,0.0,0.46603552050703045,0.464808069341993,0.5339960112346744,0.58266248487595,0.58266248487595,0.58266248487595,0.58266248487595,1.0
300,0.0,0.5380930089436983,0.5555510353541246,0.5380930089436983,0.5380930089436983,0.5380930089436983,0.5380930089436983,0.5380930089436983,1.0
301,0.0,0.507710127158548,0.5063954405681294,0.507710127158548,0.507710127158548,0.507710127158548,0.507710127158548,0.507710127158548,1.0
302,0.0,0.5342640253122263,0.530141787714186,0.5342640253122263,0.5342640253122263,0.5342640253122263,0.5342640253122263,0.5342640253122263,1.0
303,0.0,0.5024897665328066,0.5044756721177968,0.5024897665328066,0.5024897665328066,0.5024897665328066,0.5024897665328066,0.5024897665328066,1.0
304,0.0,0.49111111242260624,0.4901763082212841,0.5089667903865573,0.5192319609258389,0.5192319609258389,0.5192319609258389,0.5192319609258389,1.0
305,0.0,0.47916909194674506,0.47659902067584786,0.535816062973048,0.535816062973048,0.535816062973048,0.535816062973048,0.535816062973048,1.0
306,0.0,0.5156606047468265,0.5144829303666313,0.5156606047468265,0.5707082046239893,0.5707082046239893,0.5707082046239893,0.5707082046239893,1.0
307,0.0,0.49299476357505656,0.4919982711939477,0.5011894471392546,0.516478307770341,0.516478307770341,0.516478307770341,0.516478307770341,1.0
308,0.0,0.46822952716530875,0.4719864369042972,0.5337624808834501,0.5337624808834501,0.5337624808834501,0.5337624808834501,0.5337624808834501,1.0
309,0.0,0.5065776530004366,0.5101483876300836,0.5065776530004366,0.5146464420003459,0.5146464420003459,0.5146464420003459,0.5146464420003459,1.0
310,0.0,0.553234953814401,0.5447943331147447,0.553234953814401,0.553234953814401,0.553234953814401,0.553234953814401,0.553234953814401,1.0
311,0.0,0.4605392358695496,0.46343354204231896,0.5493623727514094,0.5493623727514094,0.5493623727514094,0.5493623727514094,0.5493623727514094,1.0
312,0.0,0.5100266111680188,0.5129463784061121,0.5100266111680188,0.5153797375737775,0.5153797375737775,0.5153797375737775,0.5153797375737775,1.0
313,0.0,0.5088890682179409,0.5080533836969507,0.5088890682179409,0.5184931414156047,0.5184931414156047,0.5184931414156047,0.5184931414156047,1.0
314,0.0,0.49146971002467427,0.4888988633830818,0.5130662145144551,0.5148905681462578,0.5148905681462578,0.5148905681462578,0.5148905681462578,1.0
315,0.0,0.5020477652182245,0.4922871915686151,0.5020477652182245,0.5020477652182245,0.5020477652182245,0.5020477652182245,0.5020477652182245,1.0
316,0.0,0.5190131130928192,0.5200534944956691,0.5190131130928192,0.5241414781714998,0.5241414781714998,0.5241414781714998,0.5241414781714998,1.0
317,0.0,0.4923049664504804,0.49442966058410653,0.5076950335495195,0.5090244932401808,0.552222506108867,0.552222506108867,0.552222506108867,1.0
318,0.0,0.4660151221298438,0.46467827036033693,0.5401319009937534,0.5401319009937534,0.5401319009937534,0.5401319009937534,0.5401319009937534,1.0
319,0.0,0.49347458849220244,0.4948887710045803,0.5097791042623765,0.5097791042623765,0.5097791042623765,0.5097791042623765,0.5097791042623765,1.0
320,0.0,0.5042395199371607,0.5066546621639068,0.5042395199371607,0.5100035079849793,0.5100035079849793,0.5100035079849793,0.5100035079849793,1.0
321,0.0,0.46629596688578295,0.46408301038626476,0.5351200701321039,0.5351200701321039,0.5351200701321039,0.5351200701321039,0.5351200701321039,1.0
322,0.0,0.486591504864873,0.4927283694835745,0.514450082583305,0.5192315529989014,0.5192315529989014,0.5192315529989014,0.5192315529989014,1.0
323,0.0,0.5039283963343348,0.5109993750482632,0.5039283963343348,0.508395544165948,0.508395544165948,0.508395544165948,0.508395544165948,1.0
324,0.0,0.5146090171820924,0.5182903360246122,0.5146090171820924,0.5279999407050814,0.5279999407050814,0.5279999407050814,0.5279999407050814,1.0
