,Learn Result: Max Loss,Zero Loss,Random,HMM(2),HMM(3),HMM(4),HMM(5),HMM(6),Max Gain
0,-129485.69999999978,0,-952.7533333333243,7993.399999999965,10847.799999999988,10847.799999999988,10847.799999999988,10847.799999999988,140333.49999999977
1,-119410.79999999987,0,-516.9766666666692,0.0,1611.600000000035,1611.600000000035,1611.600000000035,1611.600000000035,114482.09999999985
2,-118403.10000000005,0,-1659.6699999999935,0.0,0.0,0.0,0.0,0.0,110697.00000000004
3,-148177.49999999994,0,37.07666666667259,0.0,0.0,0.0,0.0,0.0,120671.9999999999
4,-124005.39999999997,0,588.9800000000045,0.0,10786.699999999837,10786.699999999837,10786.699999999837,10786.699999999837,115357.49999999993
5,-122001.1,0,1435.3566666666593,4723.899999999965,10914.600000000151,10914.600000000151,10914.600000000151,10914.600000000151,127726.19999999995
6,-120554.50000000012,0,565.463333333321,10135.899999999965,10457.799999999988,10457.799999999988,10457.799999999988,10457.799999999988,129907.6000000001
7,-92031.1,0,-3073.8566666666643,24976.5,24976.5,24976.5,24976.5,24976.5,116169.10000000003
8,-69921.09999999993,0,868.2699999999968,0.0,0.0,0.0,0.0,0.0,66995.09999999995
9,-81517.29999999974,0,354.98666666667606,0.0,0.0,0.0,0.0,0.0,75328.69999999974
10,-74166.60000000054,0,-608.6833333333367,1399.1999999999534,2485.0999999999185,2485.0999999999185,2485.0999999999185,2485.0999999999185,76651.70000000049
11,-97798.00000000017,0,-206.10000000000096,1666.2999999999884,4633.899999999674,4633.899999999674,4633.899999999674,4633.899999999674,99552.60000000017
12,-111254.79999999952,0,-1839.5599999999977,17001.20000000001,17084.599999999977,17084.599999999977,17084.599999999977,17084.599999999977,128339.39999999951
13,-86138.59999999971,0,-307.5600000000074,0.0,1844.300000000454,1844.300000000454,1844.300000000454,1844.300000000454,78951.59999999974
14,-107724.59999999941,0,313.2466666666708,0.0,1002.9000000001397,1002.9000000001397,1002.9000000001397,1002.9000000001397,103737.7999999994
15,-107048.59999999913,0,-835.2333333333396,22018.199999999953,24078.399999999674,24078.399999999674,24078.399999999674,24078.399999999674,128956.19999999908
16,-87649.4999999996,0,-183.10333333333497,2222.600000000035,5162.399999999907,5162.399999999907,5162.399999999907,5162.399999999907,88857.39999999962
17,-89863.40000000018,0,-410.75666666667286,0.0,2063.199999999604,2063.199999999604,2063.199999999604,2063.199999999604,75580.10000000024
18,-81321.0999999995,0,915.3933333333262,4336.599999999977,7861.700000000477,7861.700000000477,7861.700000000477,7861.700000000477,85891.29999999946
19,-94292.10000000036,0,-319.18000000000274,0.0,0.0,0.0,0.0,0.0,80739.10000000033
20,-103048.20000000007,0,-267.0866666666722,0.0,0.0,0.0,0.0,0.0,97704.10000000011
21,-116134.09999999945,0,1082.4433333333338,10220.5,10220.5,14927.199999999953,14927.199999999953,14927.199999999953,125618.9999999995
22,-104286.90000000002,0,-184.19333333333392,0.0,1520.4000000000233,1520.4000000000233,1520.4000000000233,1520.4000000000233,103785.40000000008
23,-115185.90000000033,0,686.1633333333253,0.0,2532.9999999998254,2532.9999999998254,2532.9999999998254,2532.9999999998254,108480.40000000037
24,-126494.29999999935,0,-151.73999999999796,0.0,3666.500000000058,3666.500000000058,3666.500000000058,3666.500000000058,121951.59999999938
25,-92932.20000000023,0,2.5100000000020373,1610.0,4094.4999999998836,4094.4999999998836,4094.4999999998836,4094.4999999998836,95075.20000000026
26,-126467.4000000007,0,2346.0633333333317,0.0,0.0,0.0,0.0,0.0,106081.70000000071
27,-162264.90000000014,0,506.7599999999972,2761.7000000000116,15509.499999999593,15509.499999999593,15509.499999999593,15509.499999999593,164195.1000000001
28,-158307.80000000042,0,-3392.096666666667,21828.300000000047,21828.300000000047,26226.40000000008,26226.40000000008,26226.40000000008,179425.30000000042
29,-141853.5999999998,0,29.240000000002812,0.0,226.6999999996624,226.6999999996624,226.6999999996624,226.6999999996624,136989.3999999998
30,-172164.80000000034,0,-97.34666666666453,12544.899999999965,12544.899999999965,17383.0,17383.0,17383.0,183853.5000000003
31,-137301.60000000047,0,2705.8866666666654,15027.399999999965,15245.099999999977,15245.099999999977,15245.099999999977,15245.099999999977,152546.70000000042
32,-125853.0999999999,0,-1845.746666666666,8403.100000000035,8914.299999999988,8914.299999999988,8914.299999999988,8914.299999999988,134767.3999999999
